title,channel_title,category,views,likes,comment_count,engagement_rate,like_ratio,sentiment,publish_country,published_day_of_week,publish_hour,title_length,tag_count
Meghan Markle and Prince Harryâ€™s first TV interview in full,Guardian News,News & Politics,472470,1807,983,0.0059,0.9276,neutral,FRANCE,Monday,18,61,24
Drake - Virginia Black commercial,The Sports King,People & Blogs,27571,286,41,0.0119,0.9761,neutral,US,Sunday,20,33,0
Episode 40 - Vivre et laisser vivre,Beemoov,Gaming,15033,980,249,0.0817,0.9771,neutral,FRANCE,Wednesday,12,35,13
LeBron James Helps Out Kyrie Irving to Up After He Falls Down,GSWarrior,Sports,179952,1009,238,0.0069,0.9564,positive,CANADA,Sunday,20,61,4
CYPRIEN - LUNAIRE (court mÃ©trage),Cyprien,Comedy,3113409,387665,28574,0.1337,0.9776,neutral,CANADA,Friday,15,34,6
Infrak ft Mel Black - La Chute De L' Ange [Clip Officiel],Explicit Nation,Music,10443,315,35,0.0335,0.9906,neutral,CANADA,Monday,14,57,4
PAZ Mission,SpaceX,Science & Technology,1718285,39325,2607,0.0244,0.9718,neutral,US,Thursday,14,11,0
2018 Winter Olympics Daily Recap Day 16 I Part 2 I NBC Sports,NBC Sports,Sports,213402,859,366,0.0057,0.738,neutral,US,Sunday,18,61,11
Black Mirror | Happy New Year | Netflix,Netflix,Entertainment,1004282,31123,1774,0.0328,0.9773,positive,CANADA,Friday,9,39,33
Path To The NFL Draft! Workout With Du'Vonta Lampkin,Verne Troyer,Entertainment,618074,8114,644,0.0142,0.9572,neutral,GB,Wednesday,18,52,23
SZA - Doves In The Wind (Official Video) ft. Kendrick Lamar,SZAVEVO,Music,4707297,155899,13177,0.0359,0.9616,neutral,GB,Friday,14,59,4
Tinashe - No Drama (Official Video) ft. Offset,TinasheOfficialVEVO,Music,238948,25570,2872,0.119,0.9783,negative,FRANCE,Thursday,21,46,7
"Patrick McCaw Scary INJURY | Warriors vs Kings | March 31, 2018 | 2017-18 NBA Season",House of Highlights,Sports,649004,2111,975,0.0048,0.9316,negative,CANADA,Sunday,4,84,39
Janelle MonÃ¡e - I Like That [Official Video],Janelle MonÃ¡e,Music,2667471,70815,3762,0.028,0.9805,positive,GB,Monday,16,45,37
Compressed Air Powered Plane,Tom Stanton,Science & Technology,201980,6102,884,0.0346,0.9649,neutral,US,Friday,12,28,20
BTS Special / ë°©íƒ„ì†Œë…„ë‹¨ ìŠ¤íŽ˜ì…œ [2017 KBS Song Festival | 2017 KBS ê°€ìš”ëŒ€ì¶•ì œ / 2017.12.29],KBS World TV,Entertainment,2850862,163739,8668,0.0605,0.9901,positive,GB,Friday,21,104,46
Marilyn Manson - Tattooed In Reverse (Music Video),MarilynMansonVEVO,Music,2970727,100932,8821,0.0369,0.9476,neutral,GB,Friday,4,50,9
Why Is Nobody Talking About This... !?,THAT IS IMPOSSIBLE,Entertainment,195246,3889,1404,0.0271,0.8973,neutral,CANADA,Thursday,3,38,6
Who Is Kim Jong Un's Sister â€” Kim Yo Jong?,Business Insider,News & Politics,84876,616,254,0.0103,0.9072,neutral,US,Wednesday,23,44,8
uganda knuckles,Apandah,Education,4435027,108169,5620,0.0257,0.9623,neutral,CANADA,Monday,2,15,25
Darya Folsom and caller LAUGH! at diddy move to buy Panthers..( He look like he just smoke a blunt),Peter Parker Tube,People & Blogs,54109,35,46,0.0015,0.3017,positive,GB,Monday,20,99,14
Fortnite Fan Film: Sharpshooter,Laugh Over Life,Comedy,494584,12732,1160,0.0281,0.9642,positive,CANADA,Saturday,20,31,23
Putaclic 90 : Ã‰clipse,ZeratoR,Gaming,50639,5116,315,0.1072,0.9829,neutral,FRANCE,Friday,17,22,13
Parchayee Episode #18 HUM TV Drama 20 April 2018,HUM TV Dramas,People & Blogs,305485,2208,254,0.0081,0.909,neutral,CANADA,Friday,19,48,14
My Dinosaur Is a Service Animal (with Chris Pratt and Bryce Dallas Howard!),CollegeHumor,Comedy,1708834,75640,3540,0.0463,0.9838,neutral,GB,Tuesday,17,75,33
MAITAKE MUSHROOM STEAK SANDWICHES (THE WICKED HEALTHY COOKBOOK) | hot for food's TEST KITCHEN,hot for food,Howto & Style,19700,1730,120,0.0939,0.9943,negative,CANADA,Wednesday,15,93,30
You'll NEVER guess how I caught this lizard!,Brave Wilderness,Pets & Animals,1386296,31218,5368,0.0264,0.9723,neutral,US,Friday,12,44,36
